id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
223531578,Egretta garzetta,species,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,https://inaturalist-open-data.s3.amazonaws.com/photos/396108166/original.jpg
223531581,Talpa europaea,species,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,https://inaturalist-open-data.s3.amazonaws.com/photos/396081974/original.jpg
223531589,Alopochen aegyptiaca,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,https://inaturalist-open-data.s3.amazonaws.com/photos/396081856/original.jpeg
223531589,Alopochen aegyptiaca,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,https://inaturalist-open-data.s3.amazonaws.com/photos/396082154/original.jpeg
127738223,Lepus europaeus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892781/original.jpeg
127738231,Sialia sialis,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,https://inaturalist-open-data.s3.amazonaws.com/photos/216892702/original.jpeg
127738239,Sciurus yucatanensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216873792/original.jpeg
127738239,Sciurus yucatanensis,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216873829/original.jpeg
223531641,Chlorospingus flavopectus,species,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Chlorospingus,https://inaturalist-open-data.s3.amazonaws.com/photos/396082077/original.jpeg
223531641,Chlorospingus flavopectus,species,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Chlorospingus,https://inaturalist-open-data.s3.amazonaws.com/photos/396082195/original.jpeg
223531641,Chlorospingus flavopectus,species,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Chlorospingus,https://inaturalist-open-data.s3.amazonaws.com/photos/396082222/original.jpeg
95808874,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/159094751/original.jpg
95808891,Cyanocorax chrysops,species,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,https://inaturalist-open-data.s3.amazonaws.com/photos/159097475/original.jpg
127738243,Calendulauda erythrochlamys,species,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calendulauda,https://inaturalist-open-data.s3.amazonaws.com/photos/216892844/original.jpg
127738243,Calendulauda erythrochlamys,species,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calendulauda,https://inaturalist-open-data.s3.amazonaws.com/photos/216892868/original.jpg
127738257,Tamiasciurus douglasii,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216892692/original.jpeg
223531652,Ploceus velatus,species,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,https://inaturalist-open-data.s3.amazonaws.com/photos/396082137/original.jpeg
