id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
223517248,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055919/original.jpg,https://www.inaturalist.org/photos/396055919,2024-06-18T09:23:03Z,Paul Masters,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Paul Masters,396055919
223517251,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055281/original.jpeg,https://www.inaturalist.org/photos/396055281,2024-06-18T09:08:01-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396055281
223517251,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055501/original.jpeg,https://www.inaturalist.org/photos/396055501,2024-06-18T09:08:08-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396055501
223517251,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055503/original.jpeg,https://www.inaturalist.org/photos/396055503,2024-06-18T09:08:07-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396055503
223517253,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055537/original.jpeg,https://www.inaturalist.org/photos/396055537,2024-06-18T09:15:32-07:00,Miriam Öttl,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Miriam Öttl,396055537
223517254,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055930/original.jpeg,https://www.inaturalist.org/photos/396055930,2024-06-18T10:19:15-07:00,bernardwieser,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,bernardwieser,396055930
223517261,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055943/original.jpeg,https://www.inaturalist.org/photos/396055943,2024-06-18T12:06:22-07:00,Arian,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Arian,396055943
223517261,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055967/original.jpeg,https://www.inaturalist.org/photos/396055967,2024-06-18T12:06:23-07:00,Arian,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Arian,396055967
223517262,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055959/original.jpeg,https://www.inaturalist.org/photos/396055959,2024-06-17T08:01:36Z,Анна Гуляева,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Анна Гуляева,396055959
223517262,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396056000/original.jpeg,https://www.inaturalist.org/photos/396056000,2024-06-17T08:01:36Z,Анна Гуляева,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Анна Гуляева,396056000
223517262,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396056046/original.jpeg,https://www.inaturalist.org/photos/396056046,2024-06-17T08:01:36Z,Анна Гуляева,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Анна Гуляева,396056046
223517263,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/396055955/original.jpg,https://www.inaturalist.org/photos/396055955,2024-06-18T06:46:30Z,leforain,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,leforain,396055955
