id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
63861801,Sylvilagus floridanus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,https://inaturalist-open-data.s3.amazonaws.com/photos/102568373/original.jpg
63861801,Sylvilagus floridanus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,https://inaturalist-open-data.s3.amazonaws.com/photos/102568375/original.jpg
63861803,Cratogeomys fumosus,species,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Cratogeomys,https://inaturalist-open-data.s3.amazonaws.com/photos/102568710/original.jpg
63861803,Cratogeomys fumosus,species,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Cratogeomys,https://inaturalist-open-data.s3.amazonaws.com/photos/102568880/original.jpg
159655447,Lutra lutra,species,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,https://inaturalist-open-data.s3.amazonaws.com/photos/275854382/original.jpeg
159655447,Lutra lutra,species,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,https://inaturalist-open-data.s3.amazonaws.com/photos/275854423/original.jpeg
159655458,Ondatra zibethicus,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,https://inaturalist-open-data.s3.amazonaws.com/photos/275854400/original.jpeg
159655458,Ondatra zibethicus,species,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,https://inaturalist-open-data.s3.amazonaws.com/photos/275854444/original.jpeg
63861898,Odocoileus virginianus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/102568698/original.jpeg
31932721,Rattus norvegicus,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,https://inaturalist-open-data.s3.amazonaws.com/photos/50214292/original.jpeg
31932721,Rattus norvegicus,species,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,https://inaturalist-open-data.s3.amazonaws.com/photos/50214419/original.jpeg
